Year,Total_Incidents,City,YoY_Change_Percent
2011,24182.0,Regina,-1.2536240761158113
2012,23146.0,Regina,-4.284178314448761
2013,21621.0,Regina,-6.588611423140067
2014,21133.0,Regina,-2.257064890615601
2015,22274.0,Regina,5.399138787678037
2016,25443.0,Regina,14.227350273861905
2017,24405.0,Regina,-4.0797075816531025
2018,26657.0,Regina,9.227617291538625
2019,27540.0,Regina,3.312450763401742
2020,20644.0,Regina,-25.039941902687
2021,21443.0,Regina,3.870373958535178
2022,21576.0,Regina,0.6202490323182319
2023,23017.0,Regina,6.6787170930663775
2024,22195.0,Regina,-3.5712734066125074
